,name,day,time,statement,topics
0,"1 Day For The K.I.A., Inc.",0,2900,1 Day for the K.I.A.’s purpose is to raise awareness and commemorate fallen military service members. 1 Day for the K.I.A. accomplishes our ...,"{'Community Service/Service Learning', 'Special Interest', 'Columbus', 'Awareness/Activism'}"
1,1825 at Ohio State,1,1900,"To help students at The Ohio State University come to faith, and grow in their walks with the Lord. To see God change people through spiritu...","{'Ethnic/Cultural', 'Columbus', 'Awareness/Activism', 'Religious/Spiritual'}"
2,1girl,3,1900,We strive to provide girls and nonbinary students the opportunity to develop the skills and confidence they need to lead fulfilling lives an...,"{'Columbus', 'Awareness/Activism', 'Community Service/Service Learning'}"
3,2022 Intercollegiate Taiwanese American Student Association Midwest Conference,3,700,The purpose of this organization is to unite Ohio State University students and community members in hosting the 2022 Intercollegiate Taiwan...,"{'Ethnic/Cultural', 'Columbus'}"
4,The 2nd and 7 Foundation Medical Branch,0,1800,The mission of the 2nd and 7 Foundation Medical Branch at the Ohio State University College of Medicine is to promote literacy and healthy h...,"{'Columbus', 'Awareness/Activism', 'Community Service/Service Learning'}"
5,3D Dance Team,4,2100,Our organization will provide a creative outlet for aspiring dancers. We strive to expose our members as well as our audiences to the art of...,"{'Special Interest', 'Columbus', 'Creative and Performing Arts', 'Sports and Recreation'}"
6,4 Paws For Ability at Ohio State,4,1900,We work as a college branch of 4 Paws for Ability to train obedience and socialize service dogs in training on campus. Our parent organizati...,"{'Special Interest', 'Columbus', 'Awareness/Activism', 'Community Service/Service Learning'}"
7,4-Wall Handball Club,4,1900,This organization is dedicated to the growth and development of the sport of handball for all ages and skill levels in order to better promo...,"{'Columbus', 'Sports and Recreation'}"
8,500Firms,2,2000,The purpose of 500Firms is to empower students to achieve their career goals through weekly masterminds and job hacking workshops.,"{'Special Interest', 'Columbus', 'Honoraries/Honor Societies'}"
9,5210! Healthy LifeStars,3,700,To increase efforts toward improving childhood nutrition and physical activity and preventing the onset of Type II Diabetes in the youth of ...,"{'Columbus', 'Awareness/Activism', 'Community Service/Service Learning', 'Sports and Recreation'}"
10,8-Bit Buckeyes,5,1900,"The primary role of 8-Bit Buckeyes (formally Club Nintendo) is to create a fun, inclusive environment that connects members of the OSU commu...","{'Special Interest', 'Columbus', 'Sports and Recreation'}"
11,8th Floor Improv Comedy Group,0,1900,"To provide Ohio State - and all of Columbus - with a unique brand of comedic entertainment, focusing on long-form improv comedy.","{'Special Interest', 'Columbus', 'Creative and Performing Arts'}"
12,A Kid Again at Ohio State,3,700,"The Ohio State A Kid Again Club is a student organization that was created to serve the local Columbus chapter of A Kid Again.

A Kid Again ...","{'Columbus', 'Awareness/Activism', 'Community Service/Service Learning'}"
13,A Moment Of Magic at Ohio State,4,1800,A Moment of Magic's purpose is to instill happiness and hope in children who have disabilities or medical vulnerabilities. A Moment of Magic...,"{'Creative and Performing Arts', 'Special Interest', 'Community Service/Service Learning', 'Columbus', 'Awareness/Activism'}"
14,Abya Yala Student Organization,3,700,"To create an inspiring and productive interdisciplinary environment for inquiry, dialogue and scholarship relating to the continent of Abya ...","{'Ethnic/Cultural', 'Columbus', 'Awareness/Activism'}"
15,The Academic Team at The Ohio State University,4,1800,We aim to promote the spirit of engaging and enriching academic competition at the Ohio State University.,"{'Academic/College', 'Special Interest', 'Columbus', 'Sports and Recreation'}"
16,Academic Writing Group for Chinese Studies,3,700,AWGCS helps members to form writing/reading co-working groups (writing at a regular time and place with a consistent groups of writers) and ...,"{'Academic/College', 'Ethnic/Cultural', 'Columbus'}"
17,Academy of Managed Care Pharmacy,5,1130,"The purposes for which the student chapter is organized are: 
a)	to encourage the education and support the advancement of managed care phar...","{'Academic/College', 'Special Interest', 'Columbus'}"
18,Accessible Prosthetics Initiative,3,700,"To increase accessibility to open-source prosthetic devices in underserved communities through education, networking, and device distributio...","{'Technology', 'Special Interest', 'Columbus', 'Awareness/Activism'}"
19,Accounting Association,2,1905,The mission of the Accounting Association is to provide an environment that allows for the development and enhancement of skills necessary f...,"{'Academic/College', 'Special Interest', 'Columbus'}"
20,ACLU of Ohio Action Team at Ohio State,3,700,"The ACLU of Ohio OSU Action Team exists to engage the student body in organizing, building power, and mobilizing for true social justice and...","{'Community Service/Service Learning', 'Special Interest', 'Columbus', 'Awareness/Activism'}"
21,Actuarial Club at Ohio State,3,700,ACOS is a student organization with the primary goal of providing students with valuable networking opportunities that may lead to internshi...,"{'Academic/College', 'Special Interest', 'Columbus'}"
22,Adaptive Sports and Wellness Student Group,3,700,The Adaptive Sports and Wellness Student Group (ASWSG) aims to increase the awareness and involvement of The Ohio State University students ...,"{'Columbus', 'Awareness/Activism', 'Community Service/Service Learning', 'Sports and Recreation'}"
23,"ADEA Chapter for Students, Residents and Fellows at The Ohio State University",3,2345,The American Dental Education Association (ADEA) is The Voice of Dental Education. Our mission is to lead institutions and individuals in th...,"{'Academic/College', 'Columbus', 'Community Service/Service Learning'}"
24,Adopt-A-School,3,700,Adopt-A-School is a student organization in which its volunteers tutor students at the nearby Graham Elementary and Middle School. As tutors...,"{'Academic/College', 'Special Interest', 'Columbus', 'Community Service/Service Learning'}"
25,Advocates For Children,3,1200,To promote and support quality advocacy for children while enabling law students to network with institutions and professionals serving the ...,"{'Community Service/Service Learning', 'Columbus', 'Awareness/Activism'}"
